============================================ prepare_Object
79226537
object read {'loc': [-31.88131391397701, -77.759681286769], 'ra': 148.118686086023, 'decl': -77.759681286769}
object read {'loc': [-36.54917713159401, -77.8265440228856], 'ra': 143.450822868406, 'decl': -77.8265440228856}
object read {'loc': [-30.998758814983006, -79.1283537549204], 'ra': 149.001241185017, 'decl': -79.1283537549204}
object read {'loc': [-30.13219743736201, -79.0784174193574], 'ra': 149.867802562638, 'decl': -79.0784174193574}
object read {'loc': [-30.073600774758006, -78.1978382040213], 'ra': 149.926399225242, 'decl': -78.1978382040213}
object read {'loc': [-35.63696960994699, -78.7391205703829], 'ra': 144.363030390053, 'decl': -78.7391205703829}
object read {'loc': [-32.08492851776299, -79.1325705924415], 'ra': 147.915071482237, 'decl': -79.1325705924415}
object read {'loc': [-33.007251964934994, -77.3988022285324], 'ra': 146.992748035065, 'decl': -77.3988022285324}
object read {'loc': [-35.17608374981799, -79.122801219736], 'ra': 144.823916250182, 'decl': -79.122801219736}
object read {'loc': [-34.533858584602996, -77.3939451992734], 'ra': 145.466141415397, 'decl': -77.3939451992734}
object read {'loc': [-38.33107494801399, -79.1112326792966], 'ra': 141.668925051986, 'decl': -79.1112326792966}
object read {'loc': [-30.64682089107899, -78.8409980426793], 'ra': 149.353179108921, 'decl': -78.8409980426793}
object read {'loc': [-35.249796170893006, -78.0772012690027], 'ra': 144.750203829107, 'decl': -78.0772012690027}
object read {'loc': [-34.035944718394006, -77.9525499397877], 'ra': 145.964055281606, 'decl': -77.9525499397877}
object read {'loc': [-37.978293313736, -77.8529773001628], 'ra': 142.021706686264, 'decl': -77.8529773001628}
object read {'loc': [-32.185436618435006, -77.9154388978691], 'ra': 147.814563381565, 'decl': -77.9154388978691}
object read {'loc': [-40.388917011377, -78.0127569376774], 'ra': 139.611082988623, 'decl': -78.0127569376774}
object read {'loc': [-36.724444301424, -78.5515820450155], 'ra': 143.275555698576, 'decl': -78.5515820450155}
object read {'loc': [-31.66132872764001, -78.2991964492984], 'ra': 148.33867127236, 'decl': -78.2991964492984}
object read {'loc': [-32.829687760092014, -78.1284828127369], 'ra': 147.170312239908, 'decl': -78.1284828127369}
object read {'loc': [-31.169274121873002, -78.6852910151621], 'ra': 148.830725878127, 'decl': -78.6852910151621}
object read {'loc': [-124.5406131744329, -77.1047305504452], 'ra': 55.4593868255671, 'decl': -77.1047305504452}
object read {'loc': [-122.5439028033431, -76.65518700078], 'ra': 57.4560971966569, 'decl': -76.65518700078}
object read {'loc': [-127.1872659516944, -75.5824771487837], 'ra': 52.8127340483056, 'decl': -75.5824771487837}
object read {'loc': [-127.99326844429339, -75.4409805637034], 'ra': 52.0067315557066, 'decl': -75.4409805637034}
object read {'loc': [-126.8286714696317, -76.269509038542], 'ra': 53.1713285303683, 'decl': -76.269509038542}
object read {'loc': [-124.31633659128829, -75.9168881421875], 'ra': 55.6836634087117, 'decl': -75.9168881421875}
object read {'loc': [-122.5430756445795, -76.9984128022325], 'ra': 57.4569243554205, 'decl': -76.9984128022325}
object read {'loc': [-130.0004133000622, -77.0280367702192], 'ra': 49.9995866999378, 'decl': -77.0280367702192}
object read {'loc': [-124.17854677548641, -76.7717516113367], 'ra': 55.8214532245136, 'decl': -76.7717516113367}
object read {'loc': [-124.08796959076659, -75.6273395718346], 'ra': 55.9120304092334, 'decl': -75.6273395718346}
object read {'loc': [-123.638928654681, -75.5933747033445], 'ra': 56.361071345319, 'decl': -75.5933747033445}
object read {'loc': [-124.0262401280755, -75.9018947764571], 'ra': 55.9737598719245, 'decl': -75.9018947764571}
object read {'loc': [-122.9739158246388, -75.9070907799054], 'ra': 57.0260841753612, 'decl': -75.9070907799054}
object read {'loc': [-121.63047820438669, -75.9741297819439], 'ra': 58.3695217956133, 'decl': -75.9741297819439}
object read {'loc': [-123.3972365638781, -76.6591516380879], 'ra': 56.6027634361219, 'decl': -76.6591516380879}
object read {'loc': [-126.1562358089915, -75.9990672245819], 'ra': 53.8437641910085, 'decl': -75.9990672245819}
object read {'loc': [-131.2904966239116, -75.85218733825], 'ra': 48.7095033760884, 'decl': -75.85218733825}
object read {'loc': [-126.30313006278459, -77.058873579908], 'ra': 53.6968699372154, 'decl': -77.058873579908}
object read {'loc': [-128.2609439650878, -76.7447400204076], 'ra': 51.7390560349122, 'decl': -76.7447400204076}
object read {'loc': [-126.1289259639158, -75.3364896495336], 'ra': 53.8710740360842, 'decl': -75.3364896495336}
object read {'loc': [-122.17834730046201, -75.2923017338141], 'ra': 57.821652699538, 'decl': -75.2923017338141}
object read {'loc': [-122.6655217751684, -75.843737626995], 'ra': 57.3344782248316, 'decl': -75.843737626995}
object read {'loc': [-128.5473328140362, -76.6810313068518], 'ra': 51.4526671859638, 'decl': -76.6810313068518}
object read {'loc': [-126.8147784628154, -76.0565846780379], 'ra': 53.1852215371846, 'decl': -76.0565846780379}
object read {'loc': [-125.1739294781686, -76.6709216290523], 'ra': 54.8260705218314, 'decl': -76.6709216290523}
object read {'loc': [-127.8540351630648, -76.6450520616134], 'ra': 52.1459648369352, 'decl': -76.6450520616134}
object read {'loc': [-127.10342680260061, -76.6916575844003], 'ra': 52.8965731973994, 'decl': -76.6916575844003}
object read {'loc': [-130.9505514493928, -75.9713091989464], 'ra': 49.0494485506072, 'decl': -75.9713091989464}
object read {'loc': [-128.0768145643767, -75.3653921913352], 'ra': 51.9231854356233, 'decl': -75.3653921913352}
object read {'loc': [-130.2230118185298, -75.2085463220789], 'ra': 49.7769881814702, 'decl': -75.2085463220789}
object read {'loc': [-125.9432704629065, -75.1943034027647], 'ra': 54.0567295370935, 'decl': -75.1943034027647}
object read {'loc': [-126.5744548613727, -75.8205999289419], 'ra': 53.4255451386273, 'decl': -75.8205999289419}
object read {'loc': [109.76730311474, -76.5046857709214], 'ra': 289.76730311474, 'decl': -76.5046857709214}
object read {'loc': [102.16445813960303, -75.7335281209364], 'ra': 282.164458139603, 'decl': -75.7335281209364}
object read {'loc': [108.52901037280998, -76.0243868926066], 'ra': 288.52901037281, 'decl': -76.0243868926066}
object read {'loc': [111.799022605375, -76.1796912452291], 'ra': 291.799022605375, 'decl': -76.1796912452291}
object read {'loc': [103.42922672467301, -75.4211901467525], 'ra': 283.429226724673, 'decl': -75.4211901467525}
object read {'loc': [104.22277349286497, -76.8075768128128], 'ra': 284.222773492865, 'decl': -76.8075768128128}
object read {'loc': [110.71598144657702, -76.6009313513994], 'ra': 290.715981446577, 'decl': -76.6009313513994}
